experiment_name,configuration_fingerprint,run_id,algorithm,dataset,model,target_metric,metric_averaging,keep_percentage,selected_instances,selected_percentage,total_instances,search_seed,training_seed,split_seed,max_evaluations,evaluations_done,best_fitness,search_duration_seconds,population_size,tournament_size,mutation_probability,mutation_fraction,local_search_num_swaps,memetic_local_search_probability,memetic_local_search_steps,memetic_local_search_num_swaps,batch_size,num_epochs,learning_rate,weight_decay,validation_fraction,pretrained,freeze_backbone,deterministic_algorithms,device,status,error
prelim_features_mnist_swintransformer_LS_kp75,eee0492680d02cbaef3e92fa91ebb1e810565c88f09abbd6f58cf5af465b87e3,MNIST_swintransformer_LS_accuracy_kp7500_seed1024,LS,MNIST,swintransformer,accuracy,macro,0.75,36000,0.75,48000,1024,101024,42,100,100,0.9718333333333333,2324.5813982803375,10,3,0.1,0.05,10,0.2,10,5,32,10,0.001,0.0,0.2,True,True,True,cuda,completed,
prelim_features_mnist_swintransformer_LS_kp75,eee0492680d02cbaef3e92fa91ebb1e810565c88f09abbd6f58cf5af465b87e3,MNIST_swintransformer_LS_accuracy_kp7500_seed123,LS,MNIST,swintransformer,accuracy,macro,0.75,36000,0.75,48000,123,100123,42,100,100,0.9723333333333334,2320.2862193882465,10,3,0.1,0.05,10,0.2,10,5,32,10,0.001,0.0,0.2,True,True,True,cuda,completed,
prelim_features_mnist_swintransformer_LS_kp75,eee0492680d02cbaef3e92fa91ebb1e810565c88f09abbd6f58cf5af465b87e3,MNIST_swintransformer_LS_accuracy_kp7500_seed42,LS,MNIST,swintransformer,accuracy,macro,0.75,36000,0.75,48000,42,100042,42,100,100,0.97225,2288.866065263748,10,3,0.1,0.05,10,0.2,10,5,32,10,0.001,0.0,0.2,True,True,True,cuda,completed,
prelim_features_mnist_swintransformer_LS_kp75,eee0492680d02cbaef3e92fa91ebb1e810565c88f09abbd6f58cf5af465b87e3,MNIST_swintransformer_LS_accuracy_kp7500_seed456,LS,MNIST,swintransformer,accuracy,macro,0.75,36000,0.75,48000,456,100456,42,100,100,0.9719166666666667,2359.7211016602814,10,3,0.1,0.05,10,0.2,10,5,32,10,0.001,0.0,0.2,True,True,True,cuda,completed,
prelim_features_mnist_swintransformer_LS_kp75,eee0492680d02cbaef3e92fa91ebb1e810565c88f09abbd6f58cf5af465b87e3,MNIST_swintransformer_LS_accuracy_kp7500_seed789,LS,MNIST,swintransformer,accuracy,macro,0.75,36000,0.75,48000,789,100789,42,100,100,0.9728333333333333,2356.8261238746345,10,3,0.1,0.05,10,0.2,10,5,32,10,0.001,0.0,0.2,True,True,True,cuda,completed,
