Algorithm,Best Fitness,Best Found At Evaluation,Best Solution ID,Candidate Type,Dataset,Evaluation,Experiment Name,Final Percentage,Fitness,Improved Best,Initial Percentage,Model,Requested Keep Percentage,Run ID,Search Seed,Selected Instances,Solution ID,Split Seed,Target Metric,Training Seed,accuracy,best_epoch,best_validation_loss,candidate_duration_seconds,epochs_trained,evaluation_loss,evaluation_split,f1,precision,recall,training_seed
RS,0.9646666666666667,1,1,random,MNIST,1,prelim_features_mnist_resnext_RS_kp25,0.25,0.9646666666666667,True,0.25,resnext,0.25,MNIST_resnext_RS_accuracy_kp2500_seed42,42,12000,1,42,accuracy,100042,0.9646666666666667,10,0.12446954325089853,15.02841586060822,10,0.12446954325089853,valid,0.9641055146863426,0.9640986171803885,0.96415507411357,100042
RS,0.9646666666666667,1,1,random,MNIST,2,prelim_features_mnist_resnext_RS_kp25,0.25,0.9615833333333333,False,0.25,resnext,0.25,MNIST_resnext_RS_accuracy_kp2500_seed42,42,12000,2,42,accuracy,100042,0.9615833333333333,10,0.1285121975193421,12.99216659925878,10,0.1285121975193421,valid,0.960886271134453,0.961280808409842,0.9608573124998857,100042
RS,0.9646666666666667,1,1,random,MNIST,3,prelim_features_mnist_resnext_RS_kp25,0.25,0.9635,False,0.25,resnext,0.25,MNIST_resnext_RS_accuracy_kp2500_seed42,42,12000,3,42,accuracy,100042,0.9635,10,0.12745692818363508,12.90135875158012,10,0.12745692818363508,valid,0.9629487614984791,0.9637388634799212,0.9625653464533108,100042
RS,0.9646666666666667,1,1,random,MNIST,4,prelim_features_mnist_resnext_RS_kp25,0.25,0.962,False,0.25,resnext,0.25,MNIST_resnext_RS_accuracy_kp2500_seed42,42,12000,4,42,accuracy,100042,0.962,10,0.1303874153395494,12.922523839399219,10,0.1303874153395494,valid,0.9613858719014278,0.961559163668294,0.961327730652596,100042
RS,0.9646666666666667,1,1,random,MNIST,5,prelim_features_mnist_resnext_RS_kp25,0.25,0.9615,False,0.25,resnext,0.25,MNIST_resnext_RS_accuracy_kp2500_seed42,42,12000,5,42,accuracy,100042,0.9615,10,0.12923910067975522,12.925262814387679,10,0.12923910067975522,valid,0.9608375488384635,0.9617482809565653,0.9604592412206369,100042
RS,0.9646666666666667,1,1,random,MNIST,6,prelim_features_mnist_resnext_RS_kp25,0.25,0.9625,False,0.25,resnext,0.25,MNIST_resnext_RS_accuracy_kp2500_seed42,42,12000,6,42,accuracy,100042,0.9625,10,0.13030296066403388,12.909434251487255,10,0.13030296066403388,valid,0.9619554550574158,0.962678509852314,0.9615951228345223,100042
RS,0.9646666666666667,1,1,random,MNIST,7,prelim_features_mnist_resnext_RS_kp25,0.25,0.9620833333333333,False,0.25,resnext,0.25,MNIST_resnext_RS_accuracy_kp2500_seed42,42,12000,7,42,accuracy,100042,0.9620833333333333,10,0.12633720438182355,12.84353194758296,10,0.12633720438182355,valid,0.9614902214059683,0.9618423046047528,0.9612740706620923,100042
RS,0.9646666666666667,1,1,random,MNIST,8,prelim_features_mnist_resnext_RS_kp25,0.25,0.9635833333333333,False,0.25,resnext,0.25,MNIST_resnext_RS_accuracy_kp2500_seed42,42,12000,8,42,accuracy,100042,0.9635833333333333,10,0.1273373606900374,12.825940527021885,10,0.1273373606900374,valid,0.9630030447702346,0.9632416368485982,0.9629767109066707,100042
RS,0.9646666666666667,1,1,random,MNIST,9,prelim_features_mnist_resnext_RS_kp25,0.25,0.9605833333333333,False,0.25,resnext,0.25,MNIST_resnext_RS_accuracy_kp2500_seed42,42,12000,9,42,accuracy,100042,0.9605833333333333,10,0.1320708806713422,12.876592740416527,10,0.1320708806713422,valid,0.9598979711893003,0.9602001082362672,0.9599305313140627,100042
RS,0.9646666666666667,1,1,random,MNIST,10,prelim_features_mnist_resnext_RS_kp25,0.25,0.963,False,0.25,resnext,0.25,MNIST_resnext_RS_accuracy_kp2500_seed42,42,12000,10,42,accuracy,100042,0.963,10,0.12953646898518006,12.845181683078408,10,0.12953646898518006,valid,0.9624932232690202,0.9627179036886433,0.9623728295697408,100042
RS,0.9646666666666667,1,1,random,MNIST,11,prelim_features_mnist_resnext_RS_kp25,0.25,0.9613333333333334,False,0.25,resnext,0.25,MNIST_resnext_RS_accuracy_kp2500_seed42,42,12000,11,42,accuracy,100042,0.9613333333333334,10,0.12836717528601488,13.131442157551646,10,0.12836717528601488,valid,0.9606631844135076,0.9605993406495166,0.9609343530496381,100042
RS,0.9646666666666667,1,1,random,MNIST,12,prelim_features_mnist_resnext_RS_kp25,0.25,0.9609166666666666,False,0.25,resnext,0.25,MNIST_resnext_RS_accuracy_kp2500_seed42,42,12000,12,42,accuracy,100042,0.9609166666666666,10,0.13017993509521086,12.828186802566051,10,0.13017993509521086,valid,0.9602362023281715,0.9612700554867262,0.9597936210102402,100042
RS,0.9646666666666667,1,1,random,MNIST,13,prelim_features_mnist_resnext_RS_kp25,0.25,0.9626666666666667,False,0.25,resnext,0.25,MNIST_resnext_RS_accuracy_kp2500_seed42,42,12000,13,42,accuracy,100042,0.9626666666666667,10,0.12573687711109718,12.817785166203976,10,0.12573687711109718,valid,0.9619880521653812,0.9623075127904975,0.9618975453215721,100042
RS,0.9646666666666667,1,1,random,MNIST,14,prelim_features_mnist_resnext_RS_kp25,0.25,0.96425,False,0.25,resnext,0.25,MNIST_resnext_RS_accuracy_kp2500_seed42,42,12000,14,42,accuracy,100042,0.96425,10,0.12678959332903225,12.79929263330996,10,0.12678959332903225,valid,0.9636190026754026,0.9638955155578822,0.9635240253530659,100042
RS,0.9646666666666667,1,1,random,MNIST,15,prelim_features_mnist_resnext_RS_kp25,0.25,0.9616666666666667,False,0.25,resnext,0.25,MNIST_resnext_RS_accuracy_kp2500_seed42,42,12000,15,42,accuracy,100042,0.9616666666666667,9,0.13419489599764348,13.182256618514657,10,0.13419489599764348,valid,0.960950238830651,0.9613135131904436,0.9607584580158546,100042
RS,0.9646666666666667,1,1,random,MNIST,16,prelim_features_mnist_resnext_RS_kp25,0.25,0.9625833333333333,False,0.25,resnext,0.25,MNIST_resnext_RS_accuracy_kp2500_seed42,42,12000,16,42,accuracy,100042,0.9625833333333333,10,0.12722274710486334,12.790952730923891,10,0.12722274710486334,valid,0.961936069084613,0.9621424030373944,0.9618478998477971,100042
RS,0.9646666666666667,1,1,random,MNIST,17,prelim_features_mnist_resnext_RS_kp25,0.25,0.9641666666666666,False,0.25,resnext,0.25,MNIST_resnext_RS_accuracy_kp2500_seed42,42,12000,17,42,accuracy,100042,0.9641666666666666,10,0.12543077124406893,13.087194817140698,10,0.12543077124406893,valid,0.9635530915788554,0.9637600447298664,0.9634565392452625,100042
RS,0.9646666666666667,1,1,random,MNIST,18,prelim_features_mnist_resnext_RS_kp25,0.25,0.9646666666666667,False,0.25,resnext,0.25,MNIST_resnext_RS_accuracy_kp2500_seed42,42,12000,18,42,accuracy,100042,0.9646666666666667,10,0.12482015594591697,12.829471619799733,10,0.12482015594591697,valid,0.9640107203513143,0.9642058540668138,0.9639196856588759,100042
RS,0.9646666666666667,1,1,random,MNIST,19,prelim_features_mnist_resnext_RS_kp25,0.25,0.9630833333333333,False,0.25,resnext,0.25,MNIST_resnext_RS_accuracy_kp2500_seed42,42,12000,19,42,accuracy,100042,0.9630833333333333,10,0.12604440971712272,12.841089205816388,10,0.12604440971712272,valid,0.9626180216762286,0.9628852761949915,0.9625300966751116,100042
RS,0.9646666666666667,1,1,random,MNIST,20,prelim_features_mnist_resnext_RS_kp25,0.25,0.964,False,0.25,resnext,0.25,MNIST_resnext_RS_accuracy_kp2500_seed42,42,12000,20,42,accuracy,100042,0.964,10,0.12687510711451372,12.740846130996943,10,0.12687510711451372,valid,0.9634365681099079,0.9634656377315671,0.9634960074168152,100042
RS,0.9648333333333333,21,21,random,MNIST,21,prelim_features_mnist_resnext_RS_kp25,0.25,0.9648333333333333,True,0.25,resnext,0.25,MNIST_resnext_RS_accuracy_kp2500_seed42,42,12000,21,42,accuracy,100042,0.9648333333333333,10,0.12635317652672529,12.781695913523436,10,0.12635317652672529,valid,0.9643118859535319,0.9645456351128475,0.9641890789028548,100042
RS,0.9648333333333333,21,21,random,MNIST,22,prelim_features_mnist_resnext_RS_kp25,0.25,0.9623333333333334,False,0.25,resnext,0.25,MNIST_resnext_RS_accuracy_kp2500_seed42,42,12000,22,42,accuracy,100042,0.9623333333333334,10,0.12776280640314022,12.89798047952354,10,0.12776280640314022,valid,0.9616415847676718,0.9618025268681203,0.9616348746031385,100042
RS,0.9648333333333333,21,21,random,MNIST,23,prelim_features_mnist_resnext_RS_kp25,0.25,0.9625,False,0.25,resnext,0.25,MNIST_resnext_RS_accuracy_kp2500_seed42,42,12000,23,42,accuracy,100042,0.9625,10,0.12800633498281241,12.86742197535932,10,0.12800633498281241,valid,0.9618862423587264,0.9623149216908129,0.9617312441567009,100042
RS,0.9648333333333333,21,21,random,MNIST,24,prelim_features_mnist_resnext_RS_kp25,0.25,0.963,False,0.25,resnext,0.25,MNIST_resnext_RS_accuracy_kp2500_seed42,42,12000,24,42,accuracy,100042,0.963,10,0.1256798671980699,12.872145179659128,10,0.1256798671980699,valid,0.9624867344266708,0.9627387744494561,0.9623688155428336,100042
RS,0.9648333333333333,21,21,random,MNIST,25,prelim_features_mnist_resnext_RS_kp25,0.25,0.96275,False,0.25,resnext,0.25,MNIST_resnext_RS_accuracy_kp2500_seed42,42,12000,25,42,accuracy,100042,0.96275,9,0.13100644481182097,12.741733660921454,10,0.13100644481182097,valid,0.9622149122496305,0.9625345954096425,0.9620616192360172,100042
RS,0.9648333333333333,21,21,random,MNIST,26,prelim_features_mnist_resnext_RS_kp25,0.25,0.9635,False,0.25,resnext,0.25,MNIST_resnext_RS_accuracy_kp2500_seed42,42,12000,26,42,accuracy,100042,0.9635,10,0.12687261783579987,12.823275826871395,10,0.12687261783579987,valid,0.9629466473166974,0.9631680184766205,0.9628311781596162,100042
RS,0.9648333333333333,21,21,random,MNIST,27,prelim_features_mnist_resnext_RS_kp25,0.25,0.9628333333333333,False,0.25,resnext,0.25,MNIST_resnext_RS_accuracy_kp2500_seed42,42,12000,27,42,accuracy,100042,0.9628333333333333,10,0.12923493153353532,12.881390469148755,10,0.12923493153353532,valid,0.9622653033031797,0.9628874869762372,0.9619843437424255,100042
RS,0.9648333333333333,21,21,random,MNIST,28,prelim_features_mnist_resnext_RS_kp25,0.25,0.96425,False,0.25,resnext,0.25,MNIST_resnext_RS_accuracy_kp2500_seed42,42,12000,28,42,accuracy,100042,0.96425,10,0.12711356201271215,12.97555723786354,10,0.12711356201271215,valid,0.9636632031402073,0.963858978371406,0.9635852098147291,100042
RS,0.9648333333333333,21,21,random,MNIST,29,prelim_features_mnist_resnext_RS_kp25,0.25,0.96275,False,0.25,resnext,0.25,MNIST_resnext_RS_accuracy_kp2500_seed42,42,12000,29,42,accuracy,100042,0.96275,10,0.12785288237283626,12.820325214415789,10,0.12785288237283626,valid,0.9621365072244895,0.9623939911040857,0.9620946902336126,100042
