Algorithm,Best Fitness,Best Found At Evaluation,Best Solution ID,Candidate Type,Crossover Hamming Parent 1,Crossover Hamming Parent 2,Dataset,Evaluation,Experiment Name,Final Percentage,Fitness,Generation,Improved Best,Initial Percentage,Local Current Solution ID After,Local Current Solution ID Before,Local Fitness After,Local Fitness Before,Local Search Accepted,Local Search Applied,Local Search Hamming Distance,Local Search Origin Evaluation,Local Search Origin Solution ID,Local Search Step,Model,Mutation Applied,Mutation Hamming Distance,Mutation Swaps,Offspring Number,Parent 1 Fitness,Parent 1 ID,Parent 1 Index,Parent 2 Fitness,Parent 2 ID,Parent 2 Index,Parent Hamming Distance,Population Slot,Requested Keep Percentage,Run ID,Search Seed,Selected Instances,Solution ID,Split Seed,Target Metric,Training Seed,accuracy,best_epoch,best_validation_loss,candidate_duration_seconds,epochs_trained,evaluation_loss,evaluation_split,f1,precision,recall,training_seed
MEM,0.9583333333333334,1,1,initial,,,MNIST,1,prelim_features_mnist_efficientnetv2_MEM_kp25,0.25,0.9583333333333334,0,True,0.25,,,,,,False,0,,,0,efficientnetv2,False,0,0,,,,,,,,,1,0.25,MNIST_efficientnetv2_MEM_accuracy_kp2500_seed1024,1024,12000,1,42,accuracy,101024,0.9583333333333334,9,0.1400928430731098,12.875368267297745,10,0.1400928430731098,valid,0.9576065767173988,0.9576688820839656,0.9577513034016629,101024
MEM,0.9595,2,2,initial,,,MNIST,2,prelim_features_mnist_efficientnetv2_MEM_kp25,0.25,0.9595,0,True,0.25,,,,,,False,0,,,0,efficientnetv2,False,0,0,,,,,,,,,2,0.25,MNIST_efficientnetv2_MEM_accuracy_kp2500_seed1024,1024,12000,2,42,accuracy,101024,0.9595,10,0.13752523862818877,12.843253571540117,10,0.13752523862818877,valid,0.9587290281945015,0.9587570512401135,0.9589391445906108,101024
MEM,0.9603333333333334,3,3,initial,,,MNIST,3,prelim_features_mnist_efficientnetv2_MEM_kp25,0.25,0.9603333333333334,0,True,0.25,,,,,,False,0,,,0,efficientnetv2,False,0,0,,,,,,,,,3,0.25,MNIST_efficientnetv2_MEM_accuracy_kp2500_seed1024,1024,12000,3,42,accuracy,101024,0.9603333333333334,10,0.1349187100852529,12.933637289330363,10,0.1349187100852529,valid,0.9596419628319763,0.9595470744029362,0.9598914486051596,101024
MEM,0.9603333333333334,3,3,initial,,,MNIST,4,prelim_features_mnist_efficientnetv2_MEM_kp25,0.25,0.9585833333333333,0,False,0.25,,,,,,False,0,,,0,efficientnetv2,False,0,0,,,,,,,,,4,0.25,MNIST_efficientnetv2_MEM_accuracy_kp2500_seed1024,1024,12000,4,42,accuracy,101024,0.9585833333333333,10,0.13873211497068405,12.785455156117678,10,0.13873211497068405,valid,0.9577860369894193,0.9581396404387734,0.9577181439829809,101024
MEM,0.9603333333333334,3,3,initial,,,MNIST,5,prelim_features_mnist_efficientnetv2_MEM_kp25,0.25,0.95925,0,False,0.25,,,,,,False,0,,,0,efficientnetv2,False,0,0,,,,,,,,,5,0.25,MNIST_efficientnetv2_MEM_accuracy_kp2500_seed1024,1024,12000,5,42,accuracy,101024,0.95925,10,0.1376090364108483,12.795184085145593,10,0.1376090364108483,valid,0.9587478037955336,0.9588260362932524,0.9588121732197994,101024
MEM,0.9608333333333333,6,6,initial,,,MNIST,6,prelim_features_mnist_efficientnetv2_MEM_kp25,0.25,0.9608333333333333,0,True,0.25,,,,,,False,0,,,0,efficientnetv2,False,0,0,,,,,,,,,6,0.25,MNIST_efficientnetv2_MEM_accuracy_kp2500_seed1024,1024,12000,6,42,accuracy,101024,0.9608333333333333,10,0.1359075467189153,12.832479441538453,10,0.1359075467189153,valid,0.9601885818146532,0.9601545744335311,0.9604698065165198,101024
MEM,0.9608333333333333,6,6,initial,,,MNIST,7,prelim_features_mnist_efficientnetv2_MEM_kp25,0.25,0.9594166666666667,0,False,0.25,,,,,,False,0,,,0,efficientnetv2,False,0,0,,,,,,,,,7,0.25,MNIST_efficientnetv2_MEM_accuracy_kp2500_seed1024,1024,12000,7,42,accuracy,101024,0.9594166666666667,10,0.13827728110800186,12.816599419340491,10,0.13827728110800186,valid,0.9588736335149729,0.9589672664665063,0.9590280057918683,101024
MEM,0.9610833333333333,8,8,initial,,,MNIST,8,prelim_features_mnist_efficientnetv2_MEM_kp25,0.25,0.9610833333333333,0,True,0.25,,,,,,False,0,,,0,efficientnetv2,False,0,0,,,,,,,,,8,0.25,MNIST_efficientnetv2_MEM_accuracy_kp2500_seed1024,1024,12000,8,42,accuracy,101024,0.9610833333333333,10,0.13778008886178333,12.904102290049195,10,0.13778008886178333,valid,0.9604648573408202,0.9605095996833466,0.9607336336983924,101024
MEM,0.9610833333333333,8,8,initial,,,MNIST,9,prelim_features_mnist_efficientnetv2_MEM_kp25,0.25,0.9596666666666667,0,False,0.25,,,,,,False,0,,,0,efficientnetv2,False,0,0,,,,,,,,,9,0.25,MNIST_efficientnetv2_MEM_accuracy_kp2500_seed1024,1024,12000,9,42,accuracy,101024,0.9596666666666667,10,0.1369743482619524,12.93200215511024,10,0.1369743482619524,valid,0.9589158478876764,0.959051721035919,0.9590518261362492,101024
MEM,0.9610833333333333,8,8,initial,,,MNIST,10,prelim_features_mnist_efficientnetv2_MEM_kp25,0.25,0.9584166666666667,0,False,0.25,,,,,,False,0,,,0,efficientnetv2,False,0,0,,,,,,,,,10,0.25,MNIST_efficientnetv2_MEM_accuracy_kp2500_seed1024,1024,12000,10,42,accuracy,101024,0.9584166666666667,10,0.13963144074877104,12.806558221578598,10,0.13963144074877104,valid,0.9576948305492424,0.9577358089992695,0.9578185045251274,101024
