Algorithm,Best Fitness,Best Found At Evaluation,Best Solution ID,Candidate Type,Crossover Hamming Parent 1,Crossover Hamming Parent 2,Dataset,Evaluation,Experiment Name,Final Percentage,Fitness,Generation,Improved Best,Initial Percentage,Local Current Solution ID After,Local Current Solution ID Before,Local Fitness After,Local Fitness Before,Local Search Accepted,Local Search Applied,Local Search Hamming Distance,Local Search Origin Evaluation,Local Search Origin Solution ID,Local Search Step,Model,Mutation Applied,Mutation Hamming Distance,Mutation Swaps,Offspring Number,Parent 1 Fitness,Parent 1 ID,Parent 1 Index,Parent 2 Fitness,Parent 2 ID,Parent 2 Index,Parent Hamming Distance,Population Slot,Requested Keep Percentage,Run ID,Search Seed,Selected Instances,Solution ID,Split Seed,Target Metric,Training Seed,accuracy,best_epoch,best_validation_loss,candidate_duration_seconds,epochs_trained,evaluation_loss,evaluation_split,f1,precision,recall,training_seed
MEM,0.973,11,11,offspring,9080,9000,MNIST,11,prelim_features_mnist_efficientnetv2_MEM_kp75,0.75,0.973,1,True,0.75,11,,0.973,,,False,0,,,0,efficientnetv2,False,0,0,1,0.9729166666666667,8,8,0.9724166666666667,3,3,18080,2,0.75,MNIST_efficientnetv2_MEM_accuracy_kp7500_seed123,123,36000,11,42,accuracy,100123,0.973,10,0.08951352113857865,29.232249988242984,10,0.08951352113857865,valid,0.9725964678068258,0.9726523398883984,0.9725898923699365,100123
MEM,0.973,11,11,offspring,9000,9080,MNIST,12,prelim_features_mnist_efficientnetv2_MEM_kp75,0.75,0.9726666666666667,1,False,0.75,12,,0.9726666666666667,,,False,0,,,0,efficientnetv2,False,0,0,2,0.9729166666666667,8,8,0.9724166666666667,3,3,18080,3,0.75,MNIST_efficientnetv2_MEM_accuracy_kp7500_seed123,123,36000,12,42,accuracy,100123,0.9726666666666667,10,0.09094551730280122,31.457682084292173,10,0.09094551730280122,valid,0.9722354972822036,0.9727075646815072,0.971955504237339,100123
MEM,0.973,11,11,offspring,8896,8994,MNIST,13,prelim_features_mnist_efficientnetv2_MEM_kp75,0.75,0.9729166666666667,1,False,0.75,13,,0.9729166666666667,,,False,0,,,0,efficientnetv2,False,0,0,1,0.9723333333333334,6,6,0.9724166666666667,3,3,17890,4,0.75,MNIST_efficientnetv2_MEM_accuracy_kp7500_seed123,123,36000,13,42,accuracy,100123,0.9729166666666667,10,0.08862797114625573,29.350871566683054,10,0.08862797114625573,valid,0.9724686645986651,0.9724130040841803,0.9726360506724827,100123
MEM,0.973,11,11,offspring,8994,8896,MNIST,14,prelim_features_mnist_efficientnetv2_MEM_kp75,0.75,0.9720833333333333,1,False,0.75,14,,0.9720833333333333,,,False,0,,,0,efficientnetv2,False,0,0,2,0.9723333333333334,6,6,0.9724166666666667,3,3,17890,5,0.75,MNIST_efficientnetv2_MEM_accuracy_kp7500_seed123,123,36000,14,42,accuracy,100123,0.9720833333333333,10,0.09114930796561142,29.36719349771738,10,0.09114930796561142,valid,0.971620860829017,0.9718748180776494,0.9715043742168327,100123
MEM,0.973,11,11,offspring,9074,8994,MNIST,15,prelim_features_mnist_efficientnetv2_MEM_kp75,0.75,0.972,1,False,0.75,15,,0.972,,,True,0,15,15,0,efficientnetv2,False,0,0,1,0.9729166666666667,8,8,0.9723333333333334,6,6,18068,6,0.75,MNIST_efficientnetv2_MEM_accuracy_kp7500_seed123,123,36000,15,42,accuracy,100123,0.972,10,0.09408026119694114,29.226780749857426,10,0.09408026119694114,valid,0.9715091774668329,0.9719065184438953,0.9713349879531649,100123
MEM,0.973,11,11,local_neighbor,9074,8994,MNIST,16,prelim_features_mnist_efficientnetv2_MEM_kp75,0.75,0.9725,1,False,0.75,16,15,0.9725,0.972,True,True,10,15,15,1,efficientnetv2,False,0,0,1,0.9729166666666667,8,8,0.9723333333333334,6,6,18068,6,0.75,MNIST_efficientnetv2_MEM_accuracy_kp7500_seed123,123,36000,16,42,accuracy,100123,0.9725,10,0.09147239120925466,29.43460522033274,10,0.09147239120925466,valid,0.9720413648714068,0.9721738649309536,0.9719972646530894,100123
MEM,0.973,11,11,local_neighbor,9074,8994,MNIST,17,prelim_features_mnist_efficientnetv2_MEM_kp75,0.75,0.9715,1,False,0.75,16,16,0.9725,0.9725,False,True,10,15,15,2,efficientnetv2,False,0,0,1,0.9729166666666667,8,8,0.9723333333333334,6,6,18068,6,0.75,MNIST_efficientnetv2_MEM_accuracy_kp7500_seed123,123,36000,17,42,accuracy,100123,0.9715,10,0.09303977261732022,29.330644618719816,10,0.09303977261732022,valid,0.9710604377724359,0.9712101698127092,0.9710794882260441,100123
MEM,0.9730833333333333,18,18,local_neighbor,9074,8994,MNIST,18,prelim_features_mnist_efficientnetv2_MEM_kp75,0.75,0.9730833333333333,1,True,0.75,18,16,0.9730833333333333,0.9725,True,True,10,15,15,3,efficientnetv2,False,0,0,1,0.9729166666666667,8,8,0.9723333333333334,6,6,18068,6,0.75,MNIST_efficientnetv2_MEM_accuracy_kp7500_seed123,123,36000,18,42,accuracy,100123,0.9730833333333333,10,0.08963047491200268,29.478538807481527,10,0.08963047491200268,valid,0.9726100185457536,0.9728768848047995,0.9724879499649572,100123
MEM,0.9730833333333333,18,18,local_neighbor,9074,8994,MNIST,19,prelim_features_mnist_efficientnetv2_MEM_kp75,0.75,0.973,1,False,0.75,18,18,0.9730833333333333,0.9730833333333333,False,True,10,15,15,4,efficientnetv2,False,0,0,1,0.9729166666666667,8,8,0.9723333333333334,6,6,18068,6,0.75,MNIST_efficientnetv2_MEM_accuracy_kp7500_seed123,123,36000,19,42,accuracy,100123,0.973,10,0.08995171796095867,29.352005321532488,10,0.08995171796095867,valid,0.9726122310478844,0.9727046983114876,0.9726156433466141,100123
MEM,0.9730833333333333,18,18,local_neighbor,9074,8994,MNIST,20,prelim_features_mnist_efficientnetv2_MEM_kp75,0.75,0.9723333333333334,1,False,0.75,18,18,0.9730833333333333,0.9730833333333333,False,True,10,15,15,5,efficientnetv2,False,0,0,1,0.9729166666666667,8,8,0.9723333333333334,6,6,18068,6,0.75,MNIST_efficientnetv2_MEM_accuracy_kp7500_seed123,123,36000,20,42,accuracy,100123,0.9723333333333334,10,0.09098859923457106,29.35541531071067,10,0.09098859923457106,valid,0.9719349008071696,0.9719945081104806,0.9720167954726193,100123
