Algorithm,Best Fitness,Best Found At Evaluation,Best Solution ID,Candidate Type,Crossover Hamming Parent 1,Crossover Hamming Parent 2,Dataset,Evaluation,Experiment Name,Final Percentage,Fitness,Generation,Improved Best,Initial Percentage,Local Current Solution ID After,Local Current Solution ID Before,Local Fitness After,Local Fitness Before,Local Search Accepted,Local Search Applied,Local Search Hamming Distance,Local Search Origin Evaluation,Local Search Origin Solution ID,Local Search Step,Model,Mutation Applied,Mutation Hamming Distance,Mutation Swaps,Offspring Number,Parent 1 Fitness,Parent 1 ID,Parent 1 Index,Parent 2 Fitness,Parent 2 ID,Parent 2 Index,Parent Hamming Distance,Population Slot,Requested Keep Percentage,Run ID,Search Seed,Selected Instances,Solution ID,Split Seed,Target Metric,Training Seed,accuracy,best_epoch,best_validation_loss,candidate_duration_seconds,epochs_trained,evaluation_loss,evaluation_split,f1,precision,recall,training_seed
MEM,0.9668333333333333,1,1,initial,,,MNIST,1,prelim_features_mnist_swintransformer_MEM_kp50,0.5,0.9668333333333333,0,True,0.5,,,,,,False,0,,,0,swintransformer,False,0,0,,,,,,,,,1,0.5,MNIST_swintransformer_MEM_accuracy_kp5000_seed123,123,24000,1,42,accuracy,100123,0.9668333333333333,10,0.1074969970198969,14.326226668432355,10,0.1074969970198969,valid,0.9662603274891193,0.9666196381403648,0.9661874498870555,100123
MEM,0.9668333333333333,1,1,initial,,,MNIST,2,prelim_features_mnist_swintransformer_MEM_kp50,0.5,0.96625,0,False,0.5,,,,,,False,0,,,0,swintransformer,False,0,0,,,,,,,,,2,0.5,MNIST_swintransformer_MEM_accuracy_kp5000_seed123,123,24000,2,42,accuracy,100123,0.96625,10,0.10771808641155561,14.262505661696196,10,0.10771808641155561,valid,0.9656609771869498,0.9660919746731613,0.9655840899272935,100123
MEM,0.967,3,3,initial,,,MNIST,3,prelim_features_mnist_swintransformer_MEM_kp50,0.5,0.967,0,True,0.5,,,,,,False,0,,,0,swintransformer,False,0,0,,,,,,,,,3,0.5,MNIST_swintransformer_MEM_accuracy_kp5000_seed123,123,24000,3,42,accuracy,100123,0.967,9,0.10739833345512549,14.302263235673308,10,0.10739833345512549,valid,0.9663964773095705,0.9665708285755423,0.9663774158062232,100123
MEM,0.96925,4,4,initial,,,MNIST,4,prelim_features_mnist_swintransformer_MEM_kp50,0.5,0.96925,0,True,0.5,,,,,,False,0,,,0,swintransformer,False,0,0,,,,,,,,,4,0.5,MNIST_swintransformer_MEM_accuracy_kp5000_seed123,123,24000,4,42,accuracy,100123,0.96925,10,0.10219652766920626,16.297340746968985,10,0.10219652766920626,valid,0.9687342068657641,0.9690047062062407,0.9686132218022229,100123
MEM,0.96925,4,4,initial,,,MNIST,5,prelim_features_mnist_swintransformer_MEM_kp50,0.5,0.9646666666666667,0,False,0.5,,,,,,False,0,,,0,swintransformer,False,0,0,,,,,,,,,5,0.5,MNIST_swintransformer_MEM_accuracy_kp5000_seed123,123,24000,5,42,accuracy,100123,0.9646666666666667,10,0.11050773212562005,18.42341066710651,10,0.11050773212562005,valid,0.9640763776071808,0.9642994166478065,0.9643435379001792,100123
MEM,0.96925,4,4,initial,,,MNIST,6,prelim_features_mnist_swintransformer_MEM_kp50,0.5,0.9666666666666667,0,False,0.5,,,,,,False,0,,,0,swintransformer,False,0,0,,,,,,,,,6,0.5,MNIST_swintransformer_MEM_accuracy_kp5000_seed123,123,24000,6,42,accuracy,100123,0.9666666666666667,10,0.10805168674327432,14.698466494679451,10,0.10805168674327432,valid,0.9659984319295442,0.9667877241818189,0.9657140552877447,100123
MEM,0.96925,4,4,initial,,,MNIST,7,prelim_features_mnist_swintransformer_MEM_kp50,0.5,0.9645,0,False,0.5,,,,,,False,0,,,0,swintransformer,False,0,0,,,,,,,,,7,0.5,MNIST_swintransformer_MEM_accuracy_kp5000_seed123,123,24000,7,42,accuracy,100123,0.9645,8,0.11056613108639916,18.291736712679267,10,0.11056613108639916,valid,0.9638091506833162,0.9640822768522874,0.9637400166480402,100123
MEM,0.96925,4,4,initial,,,MNIST,8,prelim_features_mnist_swintransformer_MEM_kp50,0.5,0.9654166666666667,0,False,0.5,,,,,,False,0,,,0,swintransformer,False,0,0,,,,,,,,,8,0.5,MNIST_swintransformer_MEM_accuracy_kp5000_seed123,123,24000,8,42,accuracy,100123,0.9654166666666667,9,0.10798786775146922,14.276672000065446,10,0.10798786775146922,valid,0.9647203628455039,0.9654914800227811,0.9644433529248662,100123
MEM,0.96925,4,4,initial,,,MNIST,9,prelim_features_mnist_swintransformer_MEM_kp50,0.5,0.96575,0,False,0.5,,,,,,False,0,,,0,swintransformer,False,0,0,,,,,,,,,9,0.5,MNIST_swintransformer_MEM_accuracy_kp5000_seed123,123,24000,9,42,accuracy,100123,0.96575,10,0.10794706120093664,14.84956295415759,10,0.10794706120093664,valid,0.9651454632637219,0.965341066033008,0.9655146312011917,100123
MEM,0.96925,4,4,initial,,,MNIST,10,prelim_features_mnist_swintransformer_MEM_kp50,0.5,0.9665833333333333,0,False,0.5,,,,,,False,0,,,0,swintransformer,False,0,0,,,,,,,,,10,0.5,MNIST_swintransformer_MEM_accuracy_kp5000_seed123,123,24000,10,42,accuracy,100123,0.9665833333333333,10,0.10840522021676104,15.188734363764524,10,0.10840522021676104,valid,0.9660053096497137,0.9663465097782996,0.9659673462366525,100123
