Algorithm,Best Fitness,Best Found At Evaluation,Best Solution ID,Candidate Type,Crossover Hamming Parent 1,Crossover Hamming Parent 2,Dataset,Evaluation,Experiment Name,Final Percentage,Fitness,Generation,Improved Best,Initial Percentage,Model,Mutation Applied,Mutation Hamming Distance,Mutation Swaps,Offspring Number,Parent 1 Fitness,Parent 1 ID,Parent 1 Index,Parent 2 Fitness,Parent 2 ID,Parent 2 Index,Parent Hamming Distance,Population Slot,Requested Keep Percentage,Run ID,Search Seed,Selected Instances,Solution ID,Split Seed,Target Metric,Training Seed,accuracy,best_epoch,best_validation_loss,candidate_duration_seconds,epochs_trained,evaluation_loss,evaluation_split,f1,precision,recall,training_seed
GEN,0.9436666666666667,1,1,initial,,,MNIST,1,prelim_features_mnist_swintransformer_GEN_kp10,0.1,0.9436666666666667,0,True,0.1,swintransformer,False,0,0,,,,,,,,,1,0.1,MNIST_swintransformer_GEN_accuracy_kp1000_seed456,456,4800,1,42,accuracy,100456,0.9436666666666667,10,0.18814613698919613,6.059441523626447,10,0.18814613698919613,valid,0.9424758463743294,0.9441647095427822,0.9420146748876954,100456
GEN,0.94675,2,2,initial,,,MNIST,2,prelim_features_mnist_swintransformer_GEN_kp10,0.1,0.94675,0,True,0.1,swintransformer,False,0,0,,,,,,,,,2,0.1,MNIST_swintransformer_GEN_accuracy_kp1000_seed456,456,4800,2,42,accuracy,100456,0.94675,10,0.1829668487062057,6.050093175843358,10,0.1829668487062057,valid,0.9456284754894485,0.9465975051224657,0.9454889220699613,100456
GEN,0.9475833333333333,3,3,initial,,,MNIST,3,prelim_features_mnist_swintransformer_GEN_kp10,0.1,0.9475833333333333,0,True,0.1,swintransformer,False,0,0,,,,,,,,,3,0.1,MNIST_swintransformer_GEN_accuracy_kp1000_seed456,456,4800,3,42,accuracy,100456,0.9475833333333333,10,0.17831994483371574,5.927191361784935,10,0.17831994483371574,valid,0.9466997228549342,0.9471295340417972,0.9471319198371717,100456
GEN,0.9475833333333333,3,3,initial,,,MNIST,4,prelim_features_mnist_swintransformer_GEN_kp10,0.1,0.9469166666666666,0,False,0.1,swintransformer,False,0,0,,,,,,,,,4,0.1,MNIST_swintransformer_GEN_accuracy_kp1000_seed456,456,4800,4,42,accuracy,100456,0.9469166666666666,10,0.17978106120228768,5.888537408784032,10,0.17978106120228768,valid,0.945992903397466,0.9459316369908084,0.946143746992426,100456
GEN,0.9475833333333333,3,3,initial,,,MNIST,5,prelim_features_mnist_swintransformer_GEN_kp10,0.1,0.945,0,False,0.1,swintransformer,False,0,0,,,,,,,,,5,0.1,MNIST_swintransformer_GEN_accuracy_kp1000_seed456,456,4800,5,42,accuracy,100456,0.945,10,0.18535222678383192,5.883077885955572,10,0.18535222678383192,valid,0.9441152661870806,0.9452754914557673,0.9437166782489967,100456
GEN,0.9475833333333333,3,3,initial,,,MNIST,6,prelim_features_mnist_swintransformer_GEN_kp10,0.1,0.94475,0,False,0.1,swintransformer,False,0,0,,,,,,,,,6,0.1,MNIST_swintransformer_GEN_accuracy_kp1000_seed456,456,4800,6,42,accuracy,100456,0.94475,10,0.1859784383525451,5.910270385444164,10,0.1859784383525451,valid,0.9436847430838748,0.9452483732500994,0.943142412519817,100456
GEN,0.9475833333333333,3,3,initial,,,MNIST,7,prelim_features_mnist_swintransformer_GEN_kp10,0.1,0.9459166666666666,0,False,0.1,swintransformer,False,0,0,,,,,,,,,7,0.1,MNIST_swintransformer_GEN_accuracy_kp1000_seed456,456,4800,7,42,accuracy,100456,0.9459166666666666,10,0.185256635800004,5.9026249293237925,10,0.185256635800004,valid,0.9448323696880712,0.9454756560418527,0.9447620454951757,100456
GEN,0.9476666666666667,8,8,initial,,,MNIST,8,prelim_features_mnist_swintransformer_GEN_kp10,0.1,0.9476666666666667,0,True,0.1,swintransformer,False,0,0,,,,,,,,,8,0.1,MNIST_swintransformer_GEN_accuracy_kp1000_seed456,456,4800,8,42,accuracy,100456,0.9476666666666667,10,0.17724968307713668,6.041831895709038,10,0.17724968307713668,valid,0.9469149802674661,0.9470406532302451,0.9472874016811567,100456
GEN,0.9476666666666667,8,8,initial,,,MNIST,9,prelim_features_mnist_swintransformer_GEN_kp10,0.1,0.9468333333333333,0,False,0.1,swintransformer,False,0,0,,,,,,,,,9,0.1,MNIST_swintransformer_GEN_accuracy_kp1000_seed456,456,4800,9,42,accuracy,100456,0.9468333333333333,10,0.18232205084959666,6.044264551252127,10,0.18232205084959666,valid,0.9460575401494038,0.9462348176522719,0.9462511904423497,100456
GEN,0.9489166666666666,10,10,initial,,,MNIST,10,prelim_features_mnist_swintransformer_GEN_kp10,0.1,0.9489166666666666,0,True,0.1,swintransformer,False,0,0,,,,,,,,,10,0.1,MNIST_swintransformer_GEN_accuracy_kp1000_seed456,456,4800,10,42,accuracy,100456,0.9489166666666666,10,0.17702301260828973,6.046946911141276,10,0.17702301260828973,valid,0.9480516605037174,0.9481620630145322,0.9480972896669471,100456
GEN,0.9489166666666666,10,10,offspring,4324,4388,MNIST,11,prelim_features_mnist_swintransformer_GEN_kp10,0.1,0.947,1,False,0.1,swintransformer,False,0,0,1,0.9489166666666666,10,10,0.9476666666666667,8,8,8712,2,0.1,MNIST_swintransformer_GEN_accuracy_kp1000_seed456,456,4800,11,42,accuracy,100456,0.947,10,0.18204148189226788,6.179356990382075,10,0.18204148189226788,valid,0.9462310547715163,0.9464661438396386,0.9463364477936832,100456
GEN,0.9489166666666666,10,10,offspring,4388,4324,MNIST,12,prelim_features_mnist_swintransformer_GEN_kp10,0.1,0.9489166666666666,1,False,0.1,swintransformer,False,0,0,2,0.9489166666666666,10,10,0.9476666666666667,8,8,8712,3,0.1,MNIST_swintransformer_GEN_accuracy_kp1000_seed456,456,4800,12,42,accuracy,100456,0.9489166666666666,10,0.1792973521600167,6.092660449445248,10,0.1792973521600167,valid,0.9480875980667012,0.9480925670511106,0.9482561632061483,100456
GEN,0.9489166666666666,10,10,offspring,4344,4368,MNIST,13,prelim_features_mnist_swintransformer_GEN_kp10,0.1,0.9485833333333333,1,False,0.1,swintransformer,False,0,0,1,0.9476666666666667,8,8,0.9489166666666666,10,10,8712,4,0.1,MNIST_swintransformer_GEN_accuracy_kp1000_seed456,456,4800,13,42,accuracy,100456,0.9485833333333333,10,0.1774544554253419,5.679348630830646,10,0.1774544554253419,valid,0.94770187504137,0.9477439089029082,0.9480416287896036,100456
GEN,0.9489166666666666,10,10,offspring,4368,4344,MNIST,14,prelim_features_mnist_swintransformer_GEN_kp10,0.1,0.94475,1,False,0.1,swintransformer,False,0,0,2,0.9476666666666667,8,8,0.9489166666666666,10,10,8712,5,0.1,MNIST_swintransformer_GEN_accuracy_kp1000_seed456,456,4800,14,42,accuracy,100456,0.94475,9,0.19146574330826602,5.292716609314084,10,0.19146574330826602,valid,0.943965100143733,0.944298354366715,0.9441831474254325,100456
GEN,0.9489166666666666,10,10,offspring,4252,4374,MNIST,15,prelim_features_mnist_swintransformer_GEN_kp10,0.1,0.9484166666666667,1,False,0.1,swintransformer,False,0,0,1,0.9475833333333333,3,3,0.9476666666666667,8,8,8626,6,0.1,MNIST_swintransformer_GEN_accuracy_kp1000_seed456,456,4800,15,42,accuracy,100456,0.9484166666666667,10,0.17416613967219988,5.3368432354182005,10,0.17416613967219988,valid,0.9475089261808785,0.9476847569626597,0.9476385730155663,100456
GEN,0.9489166666666666,10,10,offspring,4374,4252,MNIST,16,prelim_features_mnist_swintransformer_GEN_kp10,0.1,0.9428333333333333,1,False,0.1,swintransformer,False,0,0,2,0.9475833333333333,3,3,0.9476666666666667,8,8,8626,7,0.1,MNIST_swintransformer_GEN_accuracy_kp1000_seed456,456,4800,16,42,accuracy,100456,0.9428333333333333,10,0.19145149181286494,5.9948464669287205,10,0.19145149181286494,valid,0.9420444333646332,0.9424941654257786,0.9420953383013329,100456
GEN,0.9489166666666666,10,10,offspring,4222,4364,MNIST,17,prelim_features_mnist_swintransformer_GEN_kp10,0.1,0.9480833333333333,1,False,0.1,swintransformer,False,0,0,1,0.9475833333333333,3,3,0.9468333333333333,9,9,8586,8,0.1,MNIST_swintransformer_GEN_accuracy_kp1000_seed456,456,4800,17,42,accuracy,100456,0.9480833333333333,10,0.18082039258877436,6.10009223036468,10,0.18082039258877436,valid,0.9473522525949152,0.9476624121531039,0.9474060757865077,100456
GEN,0.9489166666666666,10,10,offspring,4364,4222,MNIST,18,prelim_features_mnist_swintransformer_GEN_kp10,0.1,0.94625,1,False,0.1,swintransformer,False,0,0,2,0.9475833333333333,3,3,0.9468333333333333,9,9,8586,9,0.1,MNIST_swintransformer_GEN_accuracy_kp1000_seed456,456,4800,18,42,accuracy,100456,0.94625,10,0.18083469540874164,6.206477515399456,10,0.18083469540874164,valid,0.9450896002514035,0.9462795483924044,0.9448964786494372,100456
GEN,0.9489166666666666,10,10,offspring,4382,4284,MNIST,19,prelim_features_mnist_swintransformer_GEN_kp10,0.1,0.9466666666666667,1,False,0.1,swintransformer,False,0,0,1,0.9469166666666666,4,4,0.9489166666666666,10,10,8666,10,0.1,MNIST_swintransformer_GEN_accuracy_kp1000_seed456,456,4800,19,42,accuracy,100456,0.9466666666666667,10,0.18253142916659515,6.124170854687691,10,0.18253142916659515,valid,0.945814279854267,0.9463764206063707,0.9463876702657961,100456
GEN,0.9489166666666666,10,10,offspring,4296,4416,MNIST,20,prelim_features_mnist_swintransformer_GEN_kp10,0.1,0.9458333333333333,2,False,0.1,swintransformer,False,0,0,1,0.9489166666666666,12,3,0.947,11,2,8712,2,0.1,MNIST_swintransformer_GEN_accuracy_kp1000_seed456,456,4800,20,42,accuracy,100456,0.9458333333333333,10,0.18288705963393054,6.121418057009578,10,0.18288705963393054,valid,0.9450656393211055,0.9452710459493329,0.9453217833881317,100456
GEN,0.9489166666666666,10,10,offspring,4416,4296,MNIST,21,prelim_features_mnist_swintransformer_GEN_kp10,0.1,0.948,2,False,0.1,swintransformer,False,0,0,2,0.9489166666666666,12,3,0.947,11,2,8712,3,0.1,MNIST_swintransformer_GEN_accuracy_kp1000_seed456,456,4800,21,42,accuracy,100456,0.948,10,0.1770942992468675,6.163991438224912,10,0.1770942992468675,valid,0.9471537017521362,0.9470930043128158,0.9475079313601746,100456
GEN,0.9510833333333333,22,22,offspring,3190,3282,MNIST,22,prelim_features_mnist_swintransformer_GEN_kp10,0.1,0.9510833333333333,2,True,0.1,swintransformer,False,0,0,1,0.9484166666666667,15,6,0.9485833333333333,13,4,6472,4,0.1,MNIST_swintransformer_GEN_accuracy_kp1000_seed456,456,4800,22,42,accuracy,100456,0.9510833333333333,10,0.17722486206889151,6.044681375846267,10,0.17722486206889151,valid,0.9501846464976136,0.9504132191501877,0.9503802220878557,100456
GEN,0.9510833333333333,22,22,offspring,3282,3190,MNIST,23,prelim_features_mnist_swintransformer_GEN_kp10,0.1,0.9499166666666666,2,False,0.1,swintransformer,False,0,0,2,0.9484166666666667,15,6,0.9485833333333333,13,4,6472,5,0.1,MNIST_swintransformer_GEN_accuracy_kp1000_seed456,456,4800,23,42,accuracy,100456,0.9499166666666666,10,0.17459972954293093,6.012264810502529,10,0.17459972954293093,valid,0.9490144784305331,0.9491314492883056,0.9490344059439755,100456
GEN,0.9510833333333333,22,22,offspring,2190,2198,MNIST,24,prelim_features_mnist_swintransformer_GEN_kp10,0.1,0.94825,2,False,0.1,swintransformer,False,0,0,1,0.9489166666666666,10,1,0.9489166666666666,12,3,4388,6,0.1,MNIST_swintransformer_GEN_accuracy_kp1000_seed456,456,4800,24,42,accuracy,100456,0.94825,10,0.17943600839873156,5.989794682711363,10,0.17943600839873156,valid,0.9474301632425431,0.9475008501012736,0.9476055771028562,100456
GEN,0.9510833333333333,22,22,offspring,2198,2190,MNIST,25,prelim_features_mnist_swintransformer_GEN_kp10,0.1,0.94725,2,False,0.1,swintransformer,True,480,240,2,0.9489166666666666,10,1,0.9489166666666666,12,3,4388,7,0.1,MNIST_swintransformer_GEN_accuracy_kp1000_seed456,456,4800,25,42,accuracy,100456,0.94725,10,0.18011514379580815,5.924754898995161,10,0.18011514379580815,valid,0.9462765095910305,0.9465069533937432,0.9464300348626378,100456
GEN,0.9510833333333333,22,22,offspring,2134,2150,MNIST,26,prelim_features_mnist_swintransformer_GEN_kp10,0.1,0.946,2,False,0.1,swintransformer,False,0,0,1,0.9466666666666667,19,10,0.9489166666666666,10,1,4284,8,0.1,MNIST_swintransformer_GEN_accuracy_kp1000_seed456,456,4800,26,42,accuracy,100456,0.946,10,0.18345072031517823,5.980959165841341,10,0.18345072031517823,valid,0.9449858149480761,0.9459642368000105,0.9447534908856892,100456
GEN,0.9510833333333333,22,22,offspring,2150,2134,MNIST,27,prelim_features_mnist_swintransformer_GEN_kp10,0.1,0.9458333333333333,2,False,0.1,swintransformer,False,0,0,2,0.9466666666666667,19,10,0.9489166666666666,10,1,4284,9,0.1,MNIST_swintransformer_GEN_accuracy_kp1000_seed456,456,4800,27,42,accuracy,100456,0.9458333333333333,10,0.18271697047849497,5.945538770407438,10,0.18271697047849497,valid,0.9447866415886743,0.9457212860660622,0.9446222052916371,100456
GEN,0.9510833333333333,22,22,offspring,3314,3214,MNIST,28,prelim_features_mnist_swintransformer_GEN_kp10,0.1,0.9471666666666667,2,False,0.1,swintransformer,False,0,0,1,0.9489166666666666,12,3,0.9484166666666667,15,6,6528,10,0.1,MNIST_swintransformer_GEN_accuracy_kp1000_seed456,456,4800,28,42,accuracy,100456,0.9471666666666667,10,0.1841830126196146,5.8793355617672205,10,0.1841830126196146,valid,0.9464402769818158,0.9470772366624377,0.9469285598006474,100456
GEN,0.9510833333333333,22,22,offspring,3048,2990,MNIST,29,prelim_features_mnist_swintransformer_GEN_kp10,0.1,0.94725,3,False,0.1,swintransformer,False,0,0,1,0.94825,24,6,0.9510833333333333,22,4,6038,2,0.1,MNIST_swintransformer_GEN_accuracy_kp1000_seed456,456,4800,29,42,accuracy,100456,0.94725,10,0.17887084533770878,5.129090942442417,10,0.17887084533770878,valid,0.9463134898027586,0.9463714938887078,0.9463901059086665,100456
GEN,0.9510833333333333,22,22,offspring,2990,3048,MNIST,30,prelim_features_mnist_swintransformer_GEN_kp10,0.1,0.9470833333333334,3,False,0.1,swintransformer,False,0,0,2,0.94825,24,6,0.9510833333333333,22,4,6038,3,0.1,MNIST_swintransformer_GEN_accuracy_kp1000_seed456,456,4800,30,42,accuracy,100456,0.9470833333333334,9,0.18523256884515285,5.7014996986836195,10,0.18523256884515285,valid,0.9461482081174429,0.9469221645736834,0.9458347856900688,100456
GEN,0.9510833333333333,22,22,offspring,3274,3278,MNIST,31,prelim_features_mnist_swintransformer_GEN_kp10,0.1,0.9470833333333334,3,False,0.1,swintransformer,False,0,0,1,0.9510833333333333,22,4,0.9489166666666666,10,1,6552,4,0.1,MNIST_swintransformer_GEN_accuracy_kp1000_seed456,456,4800,31,42,accuracy,100456,0.9470833333333334,10,0.1822679926206668,5.852014323696494,10,0.1822679926206668,valid,0.9462442318320953,0.9471439523590435,0.9459579906560684,100456
GEN,0.9510833333333333,22,22,offspring,3278,3274,MNIST,32,prelim_features_mnist_swintransformer_GEN_kp10,0.1,0.9469166666666666,3,False,0.1,swintransformer,False,0,0,2,0.9510833333333333,22,4,0.9489166666666666,10,1,6552,5,0.1,MNIST_swintransformer_GEN_accuracy_kp1000_seed456,456,4800,32,42,accuracy,100456,0.9469166666666666,10,0.18383714485665162,5.874543668702245,10,0.18383714485665162,valid,0.9460154954339703,0.9476308619088896,0.9453248182020854,100456
GEN,0.9510833333333333,22,22,offspring,2192,2188,MNIST,33,prelim_features_mnist_swintransformer_GEN_kp10,0.1,0.9463333333333334,3,False,0.1,swintransformer,False,0,0,1,0.94825,24,6,0.948,21,3,4380,6,0.1,MNIST_swintransformer_GEN_accuracy_kp1000_seed456,456,4800,33,42,accuracy,100456,0.9463333333333334,10,0.18165010758737724,5.979754781350493,10,0.18165010758737724,valid,0.9455855476536552,0.9459380517639314,0.9457142928953036,100456
GEN,0.9510833333333333,22,22,offspring,2188,2192,MNIST,34,prelim_features_mnist_swintransformer_GEN_kp10,0.1,0.947,3,False,0.1,swintransformer,False,0,0,2,0.94825,24,6,0.948,21,3,4380,7,0.1,MNIST_swintransformer_GEN_accuracy_kp1000_seed456,456,4800,34,42,accuracy,100456,0.947,10,0.18345697559416294,6.043431922793388,10,0.18345697559416294,valid,0.9459934262824582,0.9468348507962613,0.9461609276338308,100456
GEN,0.9510833333333333,22,22,offspring,2706,2762,MNIST,35,prelim_features_mnist_swintransformer_GEN_kp10,0.1,0.9470833333333334,3,False,0.1,swintransformer,False,0,0,1,0.9471666666666667,28,10,0.948,21,3,5468,8,0.1,MNIST_swintransformer_GEN_accuracy_kp1000_seed456,456,4800,35,42,accuracy,100456,0.9470833333333334,10,0.1791430003196001,5.863215617835522,10,0.1791430003196001,valid,0.9463001150213728,0.9465737538083921,0.9467337218074581,100456
GEN,0.9510833333333333,22,22,offspring,2762,2706,MNIST,36,prelim_features_mnist_swintransformer_GEN_kp10,0.1,0.9505,3,False,0.1,swintransformer,False,0,0,2,0.9471666666666667,28,10,0.948,21,3,5468,9,0.1,MNIST_swintransformer_GEN_accuracy_kp1000_seed456,456,4800,36,42,accuracy,100456,0.9505,10,0.17573313354452452,5.423087447881699,10,0.17573313354452452,valid,0.9495882269706077,0.9498728060832938,0.9495733715938028,100456
GEN,0.9510833333333333,22,22,offspring,2744,2634,MNIST,37,prelim_features_mnist_swintransformer_GEN_kp10,0.1,0.9450833333333334,3,False,0.1,swintransformer,False,0,0,1,0.9499166666666666,23,5,0.948,21,3,5378,10,0.1,MNIST_swintransformer_GEN_accuracy_kp1000_seed456,456,4800,37,42,accuracy,100456,0.9450833333333334,10,0.18406047703822453,5.298083871603012,10,0.18406047703822453,valid,0.9439756840522314,0.9457366032223027,0.9434430288471667,100456
