dataset_name,retention,selection_seconds_mean,selection_seconds_std
CIFAR-10,10,81.87695752680303,174.40513020537773
CIFAR-10,25,1.4084211066365242,0.02118945449324562
CIFAR-10,50,1.3892512917518616,0.07929388054166217
CIFAR-10,75,1.3776932954788208,0.06723268856734746
CIFAR-10,90,1.4040542796254158,0.053202523220636594
Tiny ImageNet,10,310.2758055076003,667.3729391444695
Tiny ImageNet,25,2.6825395420193674,0.054995037159752694
Tiny ImageNet,50,2.6842233195900915,0.02364143289574454
Tiny ImageNet,75,2.700717766582966,0.08638080044497408
Tiny ImageNet,90,2.7368424400687217,0.13483168941544893
