dataset_name,retention,method,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,final_time_mean,final_time_std,seeds
CIFAR-10,10,GA,0.7747999999999999,0.003201562118716423,0.7771072758423084,0.003987712623481322,0.7748,0.003201562118716453,0.7746034297424379,0.0034850683981076927,5.77904299646616,0.054923775478916186,5
CIFAR-10,10,KCG,0.7688200000000001,0.004522941520736259,0.7703552175204619,0.002836318295502075,0.7688200000000001,0.004522941520736259,0.7681994435122947,0.004561121726869787,6.82725130468607,0.24556139240121158,5
CIFAR-10,10,RS,0.76966,0.0058144647217090685,0.7762753309498228,0.003688011160087774,0.76966,0.005814464721709132,0.770658849582398,0.005176356170308924,5.8612515211105345,0.06705800287507091,5
CIFAR-10,10,SSRS,0.76718,0.0021776133724791796,0.770390458933255,0.003633584506525418,0.76718,0.0021776133724791583,0.7665366957720379,0.0028491429256443978,5.990724486112595,0.5651478997274391,5
CIFAR-10,25,GA,0.79176,0.002485558287387373,0.7947139577928442,0.0030748179683407323,0.79176,0.0024855582873872808,0.7915795772614682,0.0022479846466779683,9.276503486931324,0.1016930259237118,5
CIFAR-10,25,KCG,0.78364,0.0012817956155331748,0.7873846280186965,0.001995516865124627,0.78364,0.00128179561553314,0.7833417496121446,0.0017992371340427324,10.696952359378338,0.030469414953049806,5
CIFAR-10,25,RS,0.78922,0.004808014143074021,0.7924026850470316,0.00421674471926283,0.78922,0.004808014143074079,0.7886337533572392,0.004583131878416553,9.80197602212429,1.0850534724948557,5
CIFAR-10,25,SSRS,0.7900400000000001,0.0030843151589939046,0.7939033092563892,0.003026874210498946,0.7900400000000001,0.0030843151589939046,0.789486149812514,0.0028352539316969035,9.551980702579021,0.5590073679752051,5
CIFAR-10,50,GA,0.79972,0.004467325822010273,0.8018064901107929,0.005057257652364193,0.79972,0.004467325822010259,0.7985640204954663,0.00513170668553423,14.938329960405827,0.3742840500276224,5
CIFAR-10,50,KCG,0.79608,0.0058631902578715756,0.8010710243266805,0.00423479123114869,0.79608,0.005863190257871522,0.7956359800105377,0.0064126157654542035,17.414405123889445,0.07746478597074347,5
CIFAR-10,50,RS,0.80214,0.004010984916451315,0.8057318699188594,0.006038692183996926,0.80214,0.0040109849164513016,0.8017680738339339,0.004726426287283756,15.031157587468623,0.39104141752957056,5
CIFAR-10,50,SSRS,0.79392,0.004588245852174905,0.7980231987626996,0.0017749288001201605,0.7939200000000001,0.004588245852174918,0.7935498000884035,0.004060258692749994,15.601960358023643,0.2653412792028947,5
CIFAR-10,75,GA,0.8015800000000001,0.003554855833926339,0.805863502725404,0.0048420354609933335,0.8015800000000001,0.003554855833926241,0.8014476105254816,0.0038751239192439924,22.153132490813732,2.1214274605494654,5
CIFAR-10,75,KCG,0.80318,0.005558506993788882,0.8074745565013977,0.005953365219482019,0.80318,0.005558506993788898,0.8029352246588758,0.006651715225845978,24.073038163781167,0.09911471657738236,5
CIFAR-10,75,RS,0.79924,0.00623762775420277,0.8042611010641535,0.006911903308289021,0.7992400000000001,0.00623762775420278,0.7994490561175746,0.00580183700914954,22.083861073851587,1.6949568613147645,5
CIFAR-10,75,SSRS,0.8042199999999999,0.0051915315659254,0.8094486084845389,0.002894738575006058,0.8042199999999999,0.005191531565925404,0.804605725956605,0.004013476991426851,21.64243416786194,0.7073733029156591,5
CIFAR-10,90,GA,0.8087199999999999,0.006399765620708329,0.8129892385753734,0.0064215751417875935,0.8087199999999999,0.006399765620708341,0.8088871385968786,0.005836042401805593,24.45689477175474,0.8257947824498157,5
CIFAR-10,90,KCG,0.80576,0.003176161204976902,0.8096450929790642,0.00466549815858489,0.8057599999999999,0.0031761612049768075,0.8053926997016866,0.004139211794415796,28.142200852930547,0.12690600197750995,5
CIFAR-10,90,RS,0.8069,0.006125357132445409,0.810641144433595,0.005788759829300539,0.8069,0.006125357132445476,0.8069059040320574,0.006016888891238507,25.526869949698447,1.9451611663879973,5
CIFAR-10,90,SSRS,0.80434,0.0063022218304340915,0.8082473744386798,0.0055057584469098905,0.80434,0.006302221830434122,0.8029765940429945,0.007648755709944723,24.804347226023673,0.8580299567550204,5
CIFAR-10,100,100% base training,0.8095399999999999,0.0041710909843828544,0.813564151528723,0.004344387504180746,0.8095399999999999,0.004171090984382824,0.8090220790147548,0.004372057027544837,26.589940698444842,0.5282444454736451,5
Tiny ImageNet,10,GA,0.41296,0.003686868590009688,0.423129353238096,0.005167189610789653,0.41296,0.003686868590009658,0.40969849012171833,0.004522183751453202,11.584775298833847,1.2164993953900232,5
Tiny ImageNet,10,KCG,0.39893999999999996,0.0036459566645806623,0.421527666942845,0.0026447718778246673,0.39893999999999996,0.003645956664580602,0.39113718565162015,0.0018370305584050962,12.709167201817035,0.8669135376594533,5
Tiny ImageNet,10,RS,0.41318,0.00503309050186861,0.4221415946019519,0.006025700557845374,0.41318,0.00503309050186861,0.40898858368678237,0.005851428965949411,11.557809822261333,1.4253606421554896,5
Tiny ImageNet,10,SSRS,0.4147,0.0010770329614268996,0.4206696698672915,0.003136159936244453,0.41469999999999996,0.0010770329614268742,0.4113248605528673,0.0017834888200038298,11.30021461993456,0.4281994640982973,5
Tiny ImageNet,25,GA,0.41746,0.005192590875468616,0.47443565412339594,0.004652713872933211,0.41746,0.005192590875468651,0.4127203281874812,0.006730592547721165,19.18245769739151,1.9736467524022046,5
Tiny ImageNet,25,KCG,0.45721999999999996,0.0061511787488253,0.47058026162157807,0.0030961121209381504,0.45722000000000007,0.006151178748825294,0.45510068200695686,0.0064083842860109125,20.427344697713853,1.8507464117562253,5
Tiny ImageNet,25,RS,0.4073399999999999,0.008983763131338661,0.47508107698391716,0.003964126796817432,0.4073399999999999,0.008983763131338661,0.40287971623753605,0.008808224975706965,18.267534832656384,0.12381567455319771,5
Tiny ImageNet,25,SSRS,0.40957999999999994,0.0036968905853433016,0.4678312919266506,0.006193739512357629,0.40957999999999994,0.0036968905853432808,0.4046611572665323,0.006595691341907769,18.394496446847917,0.8265084078153445,5
Tiny ImageNet,50,GA,0.434,0.006320996756841429,0.49630933385560716,0.004940693927102727,0.434,0.006320996756841429,0.4313674978584997,0.006811618215209708,30.83382334113121,0.2827266768404159,5
Tiny ImageNet,50,KCG,0.42716000000000004,0.006598711995533665,0.4960569255372581,0.004539777309258453,0.42715999999999993,0.006598711995533709,0.4246277548355989,0.006076000840271165,33.39448241442442,2.9768562457170806,5
Tiny ImageNet,50,RS,0.43674,0.005569829440835689,0.4932505773706849,0.007331518374916736,0.43674,0.0055698294408356875,0.4327830355502621,0.007156971654641325,30.87608083933592,0.22219799610778915,5
Tiny ImageNet,50,SSRS,0.43499999999999994,0.005612931497889496,0.4944449072773905,0.0046553084194980035,0.43499999999999994,0.005612931497889496,0.4340134647691811,0.008012224763877002,29.289087547361852,0.9831710313309933,5
Tiny ImageNet,75,GA,0.44849999999999995,0.0026086394921491255,0.5072648200354065,0.006171179757220003,0.44849999999999995,0.0026086394921491255,0.44650637245101804,0.0039413663324575085,45.170149432122706,4.348209428766784,5
Tiny ImageNet,75,KCG,0.44684,0.007812041986574307,0.508640248389417,0.004741803682345326,0.44684,0.0078120419865743106,0.44386612807756193,0.009360940257885796,46.487585227191445,4.103306374251037,5
