retention,method,mean_accuracy,std_accuracy,mean_accuracy_pct,std_accuracy_pp
10,AlexNet + GA,0.95615,0.0006545778962218572,95.61500000000001,0.06545778962218572
25,AlexNet + GA,0.9672166666666666,0.0008830974527826265,96.72166666666666,0.08830974527826264
50,ResNeXt-50 + GA,0.9730666666666666,0.0005874852244004701,97.30666666666666,0.05874852244004701
75,AlexNet + MA,0.976,0.00030046260628867853,97.6,0.030046260628867852
90,AlexNet + RS,0.9770666666666667,0.00018066236157228893,97.70666666666668,0.018066236157228893
