Accepted,Algorithm,Best Fitness,Best Found At Evaluation,Best Solution ID,Candidate Type,Current Fitness,Current Fitness Before,Current Solution ID After,Current Solution ID Before,Dataset,Evaluation,Experiment Name,Final Percentage,Fitness,Hamming Distance,Improved Best,Initial Percentage,Model,Neighbor Swaps,Requested Keep Percentage,Run ID,Search Seed,Selected Instances,Solution ID,Split Seed,Target Metric,Training Seed,accuracy,best_epoch,best_validation_loss,candidate_duration_seconds,epochs_trained,evaluation_loss,evaluation_split,f1,precision,recall,training_seed
True,LS,0.9738333333333333,1,1,initial,0.9738333333333333,,1,,MNIST,1,prelim_features_mnist_efficientnetv2_LS_kp90,0.9,0.9738333333333333,0,True,0.9,efficientnetv2,0,0.9,MNIST_efficientnetv2_LS_accuracy_kp9000_seed789,789,43200,1,42,accuracy,100789,0.9738333333333333,10,0.08603496048537393,34.52260302007198,10,0.08603496048537393,valid,0.9733826335737199,0.9735259980318698,0.9733275657888999,100789
False,LS,0.9738333333333333,1,1,neighbor,0.9738333333333333,0.9738333333333333,1,1,MNIST,2,prelim_features_mnist_efficientnetv2_LS_kp90,0.9,0.9724166666666667,20,False,0.9,efficientnetv2,10,0.9,MNIST_efficientnetv2_LS_accuracy_kp9000_seed789,789,43200,2,42,accuracy,100789,0.9724166666666667,10,0.08781249485133837,34.514423025771976,10,0.08781249485133837,valid,0.9719874342362254,0.9722455644417215,0.9718686794537895,100789
False,LS,0.9738333333333333,1,1,neighbor,0.9738333333333333,0.9738333333333333,1,1,MNIST,3,prelim_features_mnist_efficientnetv2_LS_kp90,0.9,0.9733333333333334,20,False,0.9,efficientnetv2,10,0.9,MNIST_efficientnetv2_LS_accuracy_kp9000_seed789,789,43200,3,42,accuracy,100789,0.9733333333333334,8,0.08910452639311552,34.53292893990874,10,0.08910452639311552,valid,0.97291016280734,0.9728849146828236,0.973002374136534,100789
True,LS,0.9751666666666666,4,4,neighbor,0.9751666666666666,0.9738333333333333,4,1,MNIST,4,prelim_features_mnist_efficientnetv2_LS_kp90,0.9,0.9751666666666666,20,True,0.9,efficientnetv2,10,0.9,MNIST_efficientnetv2_LS_accuracy_kp9000_seed789,789,43200,4,42,accuracy,100789,0.9751666666666666,10,0.08481755910130838,34.391516527161,10,0.08481755910130838,valid,0.9748338981290529,0.9748612921129574,0.9748340260635274,100789
False,LS,0.9751666666666666,4,4,neighbor,0.9751666666666666,0.9751666666666666,4,4,MNIST,5,prelim_features_mnist_efficientnetv2_LS_kp90,0.9,0.9725,20,False,0.9,efficientnetv2,10,0.9,MNIST_efficientnetv2_LS_accuracy_kp9000_seed789,789,43200,5,42,accuracy,100789,0.9725,10,0.08758629782001177,34.29557517915964,10,0.08758629782001177,valid,0.9721201711905627,0.9721538797613996,0.9721526647624421,100789
False,LS,0.9751666666666666,4,4,neighbor,0.9751666666666666,0.9751666666666666,4,4,MNIST,6,prelim_features_mnist_efficientnetv2_LS_kp90,0.9,0.9735,20,False,0.9,efficientnetv2,10,0.9,MNIST_efficientnetv2_LS_accuracy_kp9000_seed789,789,43200,6,42,accuracy,100789,0.9735,9,0.08817866709952553,34.610199281945825,10,0.08817866709952553,valid,0.9731263221352506,0.9732670861486697,0.973043996508971,100789
False,LS,0.9751666666666666,4,4,neighbor,0.9751666666666666,0.9751666666666666,4,4,MNIST,7,prelim_features_mnist_efficientnetv2_LS_kp90,0.9,0.972,20,False,0.9,efficientnetv2,10,0.9,MNIST_efficientnetv2_LS_accuracy_kp9000_seed789,789,43200,7,42,accuracy,100789,0.972,10,0.0890400854072844,34.43274228088558,10,0.0890400854072844,valid,0.9716047540993651,0.9718222833653029,0.9715048188424593,100789
False,LS,0.9751666666666666,4,4,neighbor,0.9751666666666666,0.9751666666666666,4,4,MNIST,8,prelim_features_mnist_efficientnetv2_LS_kp90,0.9,0.973,20,False,0.9,efficientnetv2,10,0.9,MNIST_efficientnetv2_LS_accuracy_kp9000_seed789,789,43200,8,42,accuracy,100789,0.973,10,0.0883768143200626,34.64923733100295,10,0.0883768143200626,valid,0.9726851596323799,0.9727995716770691,0.972712029286528,100789
False,LS,0.9751666666666666,4,4,neighbor,0.9751666666666666,0.9751666666666666,4,4,MNIST,9,prelim_features_mnist_efficientnetv2_LS_kp90,0.9,0.9739166666666667,20,False,0.9,efficientnetv2,10,0.9,MNIST_efficientnetv2_LS_accuracy_kp9000_seed789,789,43200,9,42,accuracy,100789,0.9739166666666667,9,0.08831857955331604,35.56190296821296,10,0.08831857955331604,valid,0.9735395259403706,0.9736332151966958,0.9735421218304307,100789
False,LS,0.9751666666666666,4,4,neighbor,0.9751666666666666,0.9751666666666666,4,4,MNIST,10,prelim_features_mnist_efficientnetv2_LS_kp90,0.9,0.9745833333333334,20,False,0.9,efficientnetv2,10,0.9,MNIST_efficientnetv2_LS_accuracy_kp9000_seed789,789,43200,10,42,accuracy,100789,0.9745833333333334,10,0.08431603384142121,35.36576307192445,10,0.08431603384142121,valid,0.9742074725540217,0.9742052359555734,0.9742345270030148,100789
