experiment_name,configuration_fingerprint,run_id,algorithm,dataset,model,target_metric,metric_averaging,keep_percentage,selected_instances,selected_percentage,total_instances,search_seed,training_seed,split_seed,max_evaluations,evaluations_done,best_fitness,search_duration_seconds,population_size,tournament_size,mutation_probability,mutation_fraction,local_search_num_swaps,memetic_local_search_probability,memetic_local_search_steps,memetic_local_search_num_swaps,batch_size,num_epochs,learning_rate,weight_decay,validation_fraction,pretrained,freeze_backbone,deterministic_algorithms,device,status,error
prelim_features_mnist_resnext_GEN_kp75,3de9a2dc34eedf7c60a575ba47109e8c6d8451ae182db72314c34688fb4cb66b,MNIST_resnext_GEN_accuracy_kp7500_seed1024,GEN,MNIST,resnext,accuracy,macro,0.75,36000,0.75,48000,1024,101024,42,100,100,0.9749166666666667,2759.2968539912254,10,3,0.1,0.05,10,0.2,10,5,32,10,0.001,0.0,0.2,True,True,True,cuda,completed,
prelim_features_mnist_resnext_GEN_kp75,3de9a2dc34eedf7c60a575ba47109e8c6d8451ae182db72314c34688fb4cb66b,MNIST_resnext_GEN_accuracy_kp7500_seed123,GEN,MNIST,resnext,accuracy,macro,0.75,36000,0.75,48000,123,100123,42,100,100,0.9763333333333334,2989.604129124433,10,3,0.1,0.05,10,0.2,10,5,32,10,0.001,0.0,0.2,True,True,True,cuda,completed,
prelim_features_mnist_resnext_GEN_kp75,3de9a2dc34eedf7c60a575ba47109e8c6d8451ae182db72314c34688fb4cb66b,MNIST_resnext_GEN_accuracy_kp7500_seed42,GEN,MNIST,resnext,accuracy,macro,0.75,36000,0.75,48000,42,100042,42,100,100,0.9751666666666666,2985.2753449399024,10,3,0.1,0.05,10,0.2,10,5,32,10,0.001,0.0,0.2,True,True,True,cuda,completed,
prelim_features_mnist_resnext_GEN_kp75,3de9a2dc34eedf7c60a575ba47109e8c6d8451ae182db72314c34688fb4cb66b,MNIST_resnext_GEN_accuracy_kp7500_seed456,GEN,MNIST,resnext,accuracy,macro,0.75,36000,0.75,48000,456,100456,42,100,100,0.9758333333333333,2897.217468256131,10,3,0.1,0.05,10,0.2,10,5,32,10,0.001,0.0,0.2,True,True,True,cuda,completed,
prelim_features_mnist_resnext_GEN_kp75,3de9a2dc34eedf7c60a575ba47109e8c6d8451ae182db72314c34688fb4cb66b,MNIST_resnext_GEN_accuracy_kp7500_seed789,GEN,MNIST,resnext,accuracy,macro,0.75,36000,0.75,48000,789,100789,42,100,100,0.9749166666666667,2750.6803845465183,10,3,0.1,0.05,10,0.2,10,5,32,10,0.001,0.0,0.2,True,True,True,cuda,completed,
